date,unitId,buildingId,location,revenue,type
2022-03-01,0.0,662,POINT (-376.7505037068263 1607.9843212558562),935.13,school
2022-03-01,450.0,943,POINT (-2597.447677094323 3194.1547530883445),5194.9800000000005,school
2022-03-01,900.0,262,POINT (-2539.1584040534744 6556.0323181733565),4637.219999999999,school
2022-03-01,1350.0,123,POINT (-4701.462928834322 5141.762936081409),3586.8,school
2022-04-01,0.0,662,POINT (-376.7505037068263 1607.9843212558562),896.7,school
2022-04-01,450.0,943,POINT (-2597.447677094323 3194.1547530883445),4283.58,school
2022-04-01,900.0,262,POINT (-2539.1584040534744 6556.0323181733565),3534.93,school
2022-04-01,1350.0,123,POINT (-4701.462928834322 5141.762936081409),2708.4,school
2022-05-01,0.0,662,POINT (-376.7505037068263 1607.9843212558562),896.7,school
2022-05-01,450.0,943,POINT (-2597.447677094323 3194.1547530883445),4283.58,school
2022-05-01,900.0,262,POINT (-2539.1584040534744 6556.0323181733565),3534.93,school
2022-05-01,1350.0,123,POINT (-4701.462928834322 5141.762936081409),2708.4,school
2022-06-01,0.0,662,POINT (-376.7505037068263 1607.9843212558562),896.7,school
2022-06-01,450.0,943,POINT (-2597.447677094323 3194.1547530883445),4283.58,school
2022-06-01,900.0,262,POINT (-2539.1584040534744 6556.0323181733565),3534.93,school
2022-06-01,1350.0,123,POINT (-4701.462928834322 5141.762936081409),2708.4,school
2022-07-01,0.0,662,POINT (-376.7505037068263 1607.9843212558562),896.7,school
2022-07-01,450.0,943,POINT (-2597.447677094323 3194.1547530883445),4283.58,school
2022-07-01,900.0,262,POINT (-2539.1584040534744 6556.0323181733565),3534.93,school
2022-07-01,1350.0,123,POINT (-4701.462928834322 5141.762936081409),2708.4,school
2022-08-01,0.0,662,POINT (-376.7505037068263 1607.9843212558562),896.7,school
2022-08-01,450.0,943,POINT (-2597.447677094323 3194.1547530883445),4283.58,school
2022-08-01,900.0,262,POINT (-2539.1584040534744 6556.0323181733565),3534.93,school
2022-08-01,1350.0,123,POINT (-4701.462928834322 5141.762936081409),2708.4,school
