month,participantID,averageBalance,householdSize,haveKids,age,educationLevel,interestGroup,joviality
2022-03,0.0,5647.804674783864,3,True,36,HighSchoolOrCollege,H,0.001626703
2022-03,1.0,4255.881650854161,3,True,25,HighSchoolOrCollege,B,0.3280865
2022-03,2.0,4515.62355295615,3,True,35,HighSchoolOrCollege,A,0.39346959
2022-03,3.0,4266.725346646693,3,True,21,HighSchoolOrCollege,I,0.138063446
2022-03,4.0,3514.953609529286,3,True,43,Bachelors,H,0.8573966909999999
2022-03,5.0,1555.9690435212422,3,True,32,HighSchoolOrCollege,D,0.772957791
2022-03,6.0,1206.9805737655797,3,True,26,HighSchoolOrCollege,I,0.8339806679999999
2022-03,7.0,3023.556025821035,3,True,27,Bachelors,A,0.958189409
2022-03,8.0,1730.3816999599824,3,True,20,Bachelors,G,0.697554819
2022-03,9.0,7804.232556447992,3,True,35,Bachelors,D,0.467131409
2022-03,10.0,3968.431659759424,3,True,48,HighSchoolOrCollege,D,0.5571760060000001
2022-03,11.0,4026.072785358524,3,True,27,HighSchoolOrCollege,F,0.25422732
2022-03,12.0,3578.7367464634235,3,True,34,HighSchoolOrCollege,D,0.24161518199999998
2022-03,13.0,2394.7522850580613,3,True,18,Bachelors,J,0.7245038340000001
2022-03,14.0,4609.626145771903,3,True,38,Graduate,H,0.9300032890000001
2022-03,15.0,3792.257614148122,3,True,35,HighSchoolOrCollege,I,0.23226606800000002
2022-03,16.0,6369.225844202586,3,True,39,Bachelors,J,0.39218908799999996
2022-03,17.0,10049.953988288244,3,True,57,Bachelors,I,0.114667399
2022-03,18.0,10385.632732734128,3,True,20,Graduate,I,0.32696558
2022-03,19.0,5260.990066086434,3,True,25,Bachelors,B,0.486470164
2022-03,20.0,3760.332351063241,3,True,41,HighSchoolOrCollege,I,0.6190577389999999
2022-03,21.0,618.9950070055016,3,True,35,Low,E,0.931240975
2022-03,22.0,1326.227303996905,3,True,25,HighSchoolOrCollege,E,0.663815663
2022-03,23.0,2704.3173858574983,3,True,57,Low,B,0.260211811
2022-03,24.0,5367.7846125034785,3,True,44,Bachelors,D,0.607328128
2022-03,25.0,3731.310681133633,3,True,38,HighSchoolOrCollege,J,0.520535752
